門市名稱,門市網址,門市地址,門市電話,營業時間
富農門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=519,台南市東區裕農路766號,036-3317533,"假日:9-23
平日:9-23"
惠德門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=518,南投縣草屯鎮太平路二段240.242號,049-2306517,"假日:10-22
平日:10-22"
竹東門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=517,新竹縣竹東鎮長春路三段34號1、2樓,03-5100865,"平日:09:00-22:00
假日:09:00-22:00"
森北門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=516,台北市中山區林森北路426號,02-25678783,"平日:10:00-22:00
假日:10:00-22:00"
101門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=515,台北市信義區信義路五段7號B1,02-81017701,"週一~週六:08:30-22:00
週日:10:00-22:00"
五甲藥局,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=514,高雄市鳳山區五甲二路754號1、2樓,07-8121586,"平日10:00-23:00
假日10:00-23:00"
永興門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=513,新北市中和區中和路412號1、2樓,02-29212516,"平日09:00-23:00
假日09:00-23:00"
松安門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=512,台中市西屯區松竹路二段172號,04-22476137,"平日09:00-23:00
假日09:00-23:00"
超越門市(新光三越B2),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=511,台中市西屯區台灣大道三段301號B2,04-22549441,"平日11:00-22:00
假日11:00-22:00"
美新門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=510,新北市新店區中正路213號,02-29131587,"平日08:00-23:00
假日08:00-23:00"
溪湖藥局,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=509,彰化縣溪湖鎮西環路365號,04-8818617,"平日9:00~22:00
假日9:00~22:00"
西門門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=508,台北市萬華區西寧南路60號,02-23617537,"平日: 10:00-23:00
假日(週五~六): 10:00-24:00"
東英門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=507,台中市東區十甲路450號,04-22139034,09:00-23:00
新苗栗門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=506,苗栗縣苗栗市光復路24.26號,037-372463,"平日 09:00-22:30
假日 09:00-22:30"
美港門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=505,高雄市苓雅區三多四路106號,07-2693055,"平日 09:00-24:00
假日 09:00-24:00"
新仁一門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=499,基隆市仁愛區仁一路165號1樓、165之1號1樓、167號1樓,02-24259138,"平日0900-2300
假日0900-2300"
新麗林門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=498,新北市林口區竹林路46號,02-86012468,"平日0900-2300
假日0900-2300"
文大門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=497,台北市士林區華岡路55號(大忠館),02-28623563,"週一~週五:08:00-22:00
週六週日:不營業"
大安門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=496,台北市大安區信義路四段54號,02-27080127,"平日0800-2300
假日0800-2300"
八德門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=495,桃園市八德區介壽路一段836、838號,03-3611446,"平日0900-2230
假日0900-2230"
北車門市(B3),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=494,台北市中正區忠孝西路一段49號,02-23117477,"平日0700-2300
假日0700-2300"
新延和門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=493,新北市土城區立德路105號,02-22645952,"平日0900-2300
假日0900-2300"
員大門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=492,彰化縣員林鎮大同路一段455號,04-8338106,"平日0900-2200
假日0900-2200"
新中福門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=491,桃園市中壢區中正路104號,03-4252461,"平日 0930-2230
假日 0930-2230"
新竹南門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=490,苗栗縣竹南鎮延平路105號,037-461424,"平日 0900-2230
假日 0900-2230"
長樂門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=489,基隆市安樂區安樂路二段164號,02-24319748,"平日 0900-2300
假日 1000-2300"
